addedAt,albumArtistsNames,albumName,albumPopularity,albumRecordLabel,albumReleaseDate,artistFollowers,artistName,artistPopularity,secondaryArtistsNames,trackDuration,trackFeatureAcousticness,trackFeatureDanceability,trackFeatureEnergy,trackFeatureInstrumentalness,trackFeatureKey,trackFeatureLiveness,trackFeatureLoudness,trackFeatureMode,trackFeatureSpeechiness,trackFeatureTempo,trackFeatureTimeSignature,trackFeatureValence,trackName,trackPopularity,trackIsrc,trackNumber,trackUrl,isLocal,isLikedByUser,artistUrl,artistGenres,albumUrl,albumUpc,albumType,addedBy
2024-02-22T21:03:25Z,MPH & Oppidan,Reasons & Fluteloops,23,MPH,2022-08-26,18644,MPH,41,Oppidan,04:58,0.0355,0.828,0.473,0.773,11,0.0722,-7.627,0,0.0932,132.015,4,0.423,Reasons,27,UKQNV2100302,1,https://open.spotify.com/track/5DhWz7cAypKi6eFpVLQgG0,stream,true,https://open.spotify.com/artist/62SCu33InHVq97VaWw3eof,"Bass House, Bassline, Old School Bassline",https://open.spotify.com/album/22EznsXBYtKj4OFhYoz5zc,5060644134160,single,Oskar
2024-02-22T20:09:55Z,Taiki Nulight,Hold On,43,Orient Records,2020-08-07,38346,Taiki Nulight,49,,03:07,0.00168,0.758,0.721,0.76,9,0.258,-4.13,1,0.0455,123.996,4,0.0487,Hold On,50,USYBL2001302,1,https://open.spotify.com/track/27rVjau1APyQKLcfNXVQfd,stream,true,https://open.spotify.com/artist/4QWmN97HRZya55JvxN3I5a,"Bass House, Doujin",https://open.spotify.com/album/60jtS7lIiNeg5cQ6Ui7uq5,810025348915,single,Oskar
2024-02-21T14:13:43Z,Bnnyhunna,SINTHA,25,Orange Blues,2021-09-17,3878,Bnnyhunna,28,,03:26,0.186,0.715,0.382,0.48,7,0.229,-10.684,0,0.0548,152.04,4,0.314,rage for beginners,14,NL5ZG2100006,4,https://open.spotify.com/track/239dL6ENoMjf3hnLT33Fky,stream,true,https://open.spotify.com/artist/13itA83Wg0KCCk1odzFFpD,,https://open.spotify.com/album/5nnsr7zbNqhtBUXl0vlQUU,196292502176,single,Oskar
2024-02-21T13:48:00Z,Bnnyhunna,Paradox,27,Orange Blues,2021-08-20,3878,Bnnyhunna,28,,02:37,0.0937,0.702,0.474,0.863,11,0.14,-10.773,0,0.0522,150.038,4,0.111,Paradox,35,NL5RV2100002,1,https://open.spotify.com/track/6XSQwisZPSsvumchd6u56q,stream,true,https://open.spotify.com/artist/13itA83Wg0KCCk1odzFFpD,,https://open.spotify.com/album/5mbJr9jfnfqPN8Vf9OKsIY,196292078169,single,Oskar
2024-02-19T12:09:30Z,Little Beaver,Katie Pearl,49,"Stone Music Family, LLC",2006-08-08,24952,Little Beaver,41,,02:29,0.725,0.566,0.612,2.08E-4,4,0.342,-5.946,0,0.0443,79.846,4,0.695,Momma Forgot To Tell Me,53,USBEN0651806,6,https://open.spotify.com/track/2KGyMxMLcI5S90ZOfqUDot,stream,true,https://open.spotify.com/artist/6avpsZzjS5Yy9daHLBCYmn,"Classic Soul, Traditional Funk, Traditional Soul",https://open.spotify.com/album/3n2KrudTzk6hIF7aVUMVmj,829410307857,album,Oskar
2024-02-19T12:09:20Z,TOSHIO MATSUURA GROUP,LOVEPLAYDANCE,6,Universal Music LLC,2018-03-07,4272,TOSHIO MATSUURA GROUP,2,,07:56,0.0063,0.434,0.555,0.553,11,0.145,-10.74,1,0.0549,118.041,4,0.728,DO THE ASTRAL PLANE,6,JPPO01707302,7,https://open.spotify.com/track/4t0erY7XaFLEBBWVYzu3GG,stream,true,https://open.spotify.com/artist/1BMpbT4eEAJreNQKAdPBiH,,https://open.spotify.com/album/7Hb6QxFI4ahWMX7Cd9evuo,00602567378617,album,Oskar
2024-02-18T22:11:54Z,piri & Tommy Villiers & Higgo,words (Higgo Remix),37,EMI,2022-06-10,66457,piri,53,Tommy Villiers & Higgo,02:53,0.0067,0.675,0.56,3.23E-4,1,0.29,-7.052,0,0.0953,134.106,4,0.502,words - Higgo Remix,45,GBUM72203545,1,https://open.spotify.com/track/1HzVoPGDJajmXaEOzjEdwN,stream,true,https://open.spotify.com/artist/4DpmPt7gfAAq7WEx0E1X8s,,https://open.spotify.com/album/4cwVYYrV0ztiFARVXufLOb,00602448048967,single,Oskar
2024-02-17T19:58:48Z,Higgo & piri,Think Twice,39,Helix Records,2023-10-12,10859,Higgo,39,piri,02:58,0.00861,0.689,0.704,0.0106,10,0.0787,-6.138,0,0.111,132.258,4,0.802,Think Twice,47,QZUCN2200965,1,https://open.spotify.com/track/0DiovsXls6yfe3Jyc9EDH5,stream,true,https://open.spotify.com/artist/0f1qSxprIDtLaJfIaEJb64,Ukg Revival,https://open.spotify.com/album/1j9JM0DbhwWEcB9ZrZuz4a,0196762009365,single,Oskar
2024-02-17T17:20:33Z,piri & Tommy Villiers & piri & tommy,froge.mp3,61,Polydor Records,2022-10-21,66457,piri,53,Tommy Villiers & piri & tommy,02:34,0.204,0.777,0.578,0.126,9,0.0731,-6.119,1,0.0472,139.97,4,0.905,silver lining,43,GBUM72206445,1,https://open.spotify.com/track/4tuIihi8Bv5WNHDLe8pkiy,stream,true,https://open.spotify.com/artist/4DpmPt7gfAAq7WEx0E1X8s,,https://open.spotify.com/album/4AueWk2dGXqbMFx7ogEAs7,00602448707994,album,Oskar
2024-02-16T20:04:45Z,DBBD,Demon Hour,42,Cream Team,2023-12-22,12508,DBBD,46,,02:14,8.15E-5,0.742,0.923,0.811,0,0.0615,-8.638,0,0.0917,157.001,3,0.876,Sextrance,33,QZWFP2301724,4,https://open.spotify.com/track/1dAWIB74G9UrDCwjz0K7VZ,stream,true,https://open.spotify.com/artist/69UVGTxhvI9zrl4tVafMgC,,https://open.spotify.com/album/48ZrrGuEtXanidKhSzRI7i,019805414004,album,Oskar
2024-02-16T19:22:11Z,Cartel Madras,Age of the Goonda,26,Sub Pop Records,2019-11-01,12580,Cartel Madras,31,,02:30,0.114,0.793,0.635,0.0,6,0.554,-11.095,0,0.229,155.95,4,0.558,Goonda Gold,33,USSUB1933702,2,https://open.spotify.com/track/4Up42HxQDMNLMHa3Ol357N,stream,true,https://open.spotify.com/artist/3nwKi37CnuKq5BcPr267h3,"Alberta Hip Hop, Indie Hip Hop",https://open.spotify.com/album/1JJjSIwD99cU3HvnZWEsvg,098787133783,single,Oskar
2024-02-15T19:18:44Z,The Offline,Plage des Casernes,49,Root Records,2022-05-05,13314,The Offline,47,,02:16,0.0801,0.491,0.269,0.844,4,0.101,-12.867,0,0.0353,74.349,4,0.358,Plage des Casernes,56,FRIDO2210768,1,https://open.spotify.com/track/1Clcv7tRrcpxWVMdieibkd,stream,true,https://open.spotify.com/artist/6hk187bUA8NzTX9NFGppv9,,https://open.spotify.com/album/3CbjF8Luwm8Xe7v33DwfdX,3663729197610,single,Oskar
